entidad,nom_ent,mun,nom_mun,loc,nom_loc,latitud,longitud,altitud,tamloc,pobtot,pob0_14,pob15_64,pob65_mas,vivtot,tvivparhab,vph_aguadv,vph_aguafv,vph_tinaco,vph_cister,vph_drenaj,vph_nodren,vph_c_serv,vph_excsa,cve_alcaldia
9,Ciudad de México,009,Milpa Alta,187,Santa Catarina (Piedra Blanca),19.211234444444443,-99.07864305555555,2620,1.0,177,28.0,131.0,18.0,61,53.0,25.0,28.0,44.0,40.0,51.0,2.0,25.0,50.0,009
9,Ciudad de México,009,Milpa Alta,188,Cuauhtetec,19.194268055555554,-99.08132194444444,2693,2.0,270,69.0,192.0,9.0,79,72.0,72.0,0.0,68.0,28.0,72.0,0.0,72.0,70.0,009
9,Ciudad de México,009,Milpa Alta,189,Huitlalpa,19.192523333333334,-99.08040777777778,2699,1.0,59,18.0,38.0,3.0,19,16.0,16.0,0.0,16.0,9.0,16.0,0.0,16.0,16.0,009
9,Ciudad de México,009,Milpa Alta,191,Texcolipan,19.217532777777777,-99.05927,2561,1.0,15,2.0,12.0,1.0,5,4.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,4.0,009
9,Ciudad de México,009,Milpa Alta,192,Tetzmititla,19.20787222222222,-99.05642333333333,2572,1.0,33,8.0,24.0,1.0,17,10.0,2.0,8.0,8.0,8.0,10.0,0.0,2.0,10.0,009
9,Ciudad de México,009,Milpa Alta,195,Tlaxiomulco,19.191323055555557,-99.03830527777778,2524,1.0,143,47.0,92.0,4.0,31,28.0,14.0,14.0,26.0,3.0,28.0,0.0,14.0,24.0,009
9,Ciudad de México,009,Milpa Alta,198,Tecoloxtitla,19.181889166666668,-99.01227916666667,2517,1.0,158,42.0,112.0,4.0,58,46.0,46.0,0.0,41.0,8.0,46.0,0.0,46.0,42.0,009
9,Ciudad de México,009,Milpa Alta,199,Tapalaco (Amacapultitla),19.170320833333335,-99.00304111111112,2709,1.0,81,20.0,56.0,5.0,32,23.0,4.0,19.0,21.0,3.0,16.0,7.0,3.0,17.0,009
9,Ciudad de México,009,Milpa Alta,200,Teacalco,19.1992175,-99.06105861111111,2489,1.0,25,8.0,16.0,1.0,7,5.0,5.0,0.0,4.0,0.0,5.0,0.0,5.0,5.0,009
9,Ciudad de México,009,Milpa Alta,202,Cuauhzontlipan,19.213716388888887,-99.06239666666666,2585,1.0,103,26.0,72.0,5.0,33,26.0,24.0,2.0,16.0,4.0,26.0,0.0,24.0,26.0,009
9,Ciudad de México,009,Milpa Alta,203,Huepaltepec,19.21248361111111,-99.07385,2602,1.0,74,22.0,51.0,1.0,27,22.0,4.0,18.0,20.0,11.0,21.0,1.0,4.0,22.0,009
9,Ciudad de México,009,Milpa Alta,204,Mecatlán (Rancho el Refugio),19.210102777777777,-99.08368083333333,2631,1.0,61,15.0,43.0,3.0,26,16.0,12.0,4.0,13.0,16.0,15.0,1.0,12.0,16.0,009
