columna,pct_nulos,accion
TEMP_AGUA_25,100.0,DROP
TEMP_AGUA_26,100.0,DROP
TEMP_AGUA_27,100.0,DROP
TEMP_AGUA_28,100.0,DROP
TEMP_AGUA_29,100.0,DROP
TEMP_AGUA_30,100.0,DROP
TEMP_AGUA_31,100.0,DROP
TEMP_AGUA_32,100.0,DROP
TEMP_AGUA_33,100.0,DROP
TEMP_AGUA_34,100.0,DROP
TEMP_AGUA_35,100.0,DROP
TEMP_AGUA_36,100.0,DROP
TEMP_AGUA_37,100.0,DROP
TEMP_AGUA_38,100.0,DROP
TEMP_AGUA_39,100.0,DROP
TEMP_AGUA_39.5,100.0,DROP
PROFUNDIDAD,75.27,FLAG
CAUDAL,59.57,FLAG
CLORUROS_SOL,99.47,DROP
FLUORUROS_SOL,99.47,DROP
SO4_SOL,99.47,DROP
AS_SOL,99.47,DROP
CD_SOL,99.47,DROP
CR_SOL,99.47,DROP
FE_SOL,99.47,DROP
MN_SOL,99.47,DROP
HG_SOL,99.47,DROP
PB_SOL,99.47,DROP
ZN_SOL,99.47,DROP
AL_SOL,99.47,DROP
CU_SOL,99.47,DROP
TALIO_SOL,99.47,DROP
NI_SOL,99.47,DROP
CA_SOL,99.47,DROP
MG_SOL,99.47,DROP
K_SOL,99.47,DROP
NA_SOL,99.47,DROP
SULFUROS_SOL,100.0,DROP
BA_SOL,100.0,DROP
SB_SOL,100.0,DROP
AG_TOT,100.0,DROP
S,100.0,DROP
AMPA,100.0,DROP
V_TOT,100.0,DROP
SE,100.0,DROP
SSV,100.0,DROP
C.MESÓFILOS AEROBIOS,98.67,DROP
DUR_Ca,98.67,DROP
DUR_Mg,98.67,DROP
NH4,96.28,DROP
ST,97.34,DROP
DIBR_MET,100.0,DROP
DIBROMOETILENO,100.0,DROP
S_TOT,100.0,DROP
"1,1-DICLOROPROPILENO",100.0,DROP
"1,2,3_TRICLBENCEN",100.0,DROP
"1,2-DIBR_ETA",100.0,DROP
"1,3,5-TRIMETILBENCENO",100.0,DROP
"1,3_DICLPROPAN",100.0,DROP
2_CLOROTOLUENO,100.0,DROP
2_METILFEN,100.0,DROP
4_CLOROTOLUENO,100.0,DROP
4-ISOPROPILTOLUENO,100.0,DROP
ALC_A,100.0,DROP
AZOBENCENO,100.0,DROP
BIS_2_CLOROETOXI_MET,100.0,DROP
BISMUTO,100.0,DROP
BROMATOS,100.0,DROP
BROMOBENCENO,100.0,DROP
BUTILBENCILFTALATO,100.0,DROP
CARBAZOLA,100.0,DROP
CIS-CLORDANO,100.0,DROP
CLORAMINAS_COMO_CL2_,100.0,DROP
CLORITOS,100.0,DROP
CLOROF_B,100.0,DROP
CLOROF_C,100.0,DROP
CO_TOT,100.0,DROP
COLOR_APA,100.0,DROP
COLOR_VER_436,100.0,DROP
COLOR_VER_525,100.0,DROP
COLOR_VER_620,100.0,DROP
COMP_ORG_NO_HALOG_FID_CONH,100.0,DROP
CONDUC_LAB,100.0,DROP
COP,100.0,DROP
DIBENZOFURANO,100.0,DROP
DIBUTILFTALATO (DBP),100.0,DROP
DICLOROMETANO,100.0,DROP
DI-OCTILFTALATO,100.0,DROP
DIQUAT,100.0,DROP
ENDOSULFAN II,100.0,DROP
ENDOTAL,100.0,DROP
ENDRÍN CETONA,100.0,DROP
HIDROCAR_F_MED,100.0,DROP
HIDROCAR_F_PES,100.0,DROP
ISOPROPILBENCENO,100.0,DROP
Li_TOT,100.0,DROP
N_NO3-N_NO2,100.0,DROP
N_ORG_SOL,100.0,DROP
N-BUTILBENCENO,100.0,DROP
N-PROPILBENCENO,100.0,DROP
O-NITROANILINA,100.0,DROP
P_INORG,100.0,DROP
P_INORG_DIS,100.0,DROP
P_ORG,100.0,DROP
P-CLOROANILINA,100.0,DROP
pH_LAB,100.0,DROP
SALINIDAD ,100.0,DROP
SDF,100.0,DROP
SDV,100.0,DROP
SEC-BUTILBENCENO,100.0,DROP
SN_TOT,100.0,DROP
SR_TOT,100.0,DROP
SSF,100.0,DROP
STF,100.0,DROP
STV,100.0,DROP
TALIO_TOT,100.0,DROP
TER-BUTILBENCENO,100.0,DROP
Ti_TOT,100.0,DROP
TRANS-CLORDANO,100.0,DROP
FORMALDEHIDO,100.0,DROP
CLORATOS,100.0,DROP
ACID_CLOROACE,100.0,DROP
ACID_DICLOROACE,100.0,DROP
ACID_TRICLOROACE,100.0,DROP
E_COLI_UFC,100.0,DROP
COLI_FEC_UFC,99.47,DROP
COLI_TOT_UFC,99.47,DROP
BR_TOT,100.0,DROP
4_CLORO_3_METILFEN,100.0,DROP
ACID_TOT,100.0,DROP
HIDROCAR_F_MED_PES,100.0,DROP
M_NITROANIL,100.0,DROP
P_CLFEN_FEN_ET,100.0,DROP
P_NITROANIL,100.0,DROP
2_METILNAFTA,100.0,DROP
BUTILBENCIL_FTAL,100.0,DROP
"1,2_DIBRETANO",100.0,DROP
"1,2,4-TRIMETILBENCENO",100.0,DROP
"1,1_DICLETAN",100.0,DROP
STT,100.0,DROP
SALINIDAD,100.0,DROP
NOMBRE DEL SITIO_sitio,0.0,KEEP
ESTADO,0.0,KEEP
LATITUD,0.0,KEEP
LONGITUD,0.0,KEEP
clasificacion_cdmx,0.0,KEEP
