clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9008,La Magdalena Contreras,008,2020,2020-01-01,Adultos (30 a 64 años),111312,38.345256,4.809316,49.656779
9,Ciudad de México,9009,Milpa Alta,009,2020,2020-01-01,Adultos (30 a 64 años),69763,49.97474,8.947531,55.069663
9,Ciudad de México,9010,Álvaro Obregón,010,2020,2020-01-01,Adultos (30 a 64 años),337316,33.61834,4.093848,43.649539
9,Ciudad de México,9011,Tláhuac,011,2020,2020-01-01,Adultos (30 a 64 años),171285,37.83734,4.828656,46.880872
9,Ciudad de México,9012,Tlalpan,012,2020,2020-01-01,Adultos (30 a 64 años),317219,34.902351,5.151783,42.207815
9,Ciudad de México,9013,Xochimilco,013,2020,2020-01-01,Adultos (30 a 64 años),199860,43.337038,8.613874,51.949336
9,Ciudad de México,9014,Benito Juárez,014,2020,2020-01-01,Adultos (30 a 64 años),199077,6.676527,5.763101,9.662728
9,Ciudad de México,9015,Cuauhtémoc,015,2020,2020-01-01,Adultos (30 a 64 años),248199,16.913344,2.291138,22.751787
9,Ciudad de México,9016,Miguel Hidalgo,016,2020,2020-01-01,Adultos (30 a 64 años),181961,11.162585,1.671489,16.295935
9,Ciudad de México,9017,Venustiano Carranza,017,2020,2020-01-01,Adultos (30 a 64 años),195717,26.35515,2.672491,36.342185
9,Ciudad de México,9002,Azcapotzalco,002,2015,2015-01-01,Adultos (30 a 64 años),186225,17.234459,3.082258,26.9129
9,Ciudad de México,9003,Coyoacán,003,2015,2015-01-01,Adultos (30 a 64 años),269942,16.804515,2.241021,23.586675
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2015,2015-01-01,Adultos (30 a 64 años),80010,25.750887,4.323656,31.57601
9,Ciudad de México,9005,Gustavo A. Madero,005,2015,2015-01-01,Adultos (30 a 64 años),540912,25.321039,3.081502,35.979253
9,Ciudad de México,9006,Iztacalco,006,2015,2015-01-01,Adultos (30 a 64 años),167611,14.124247,1.235743,19.294512
9,Ciudad de México,9007,Iztapalapa,007,2015,2015-01-01,Adultos (30 a 64 años),839223,30.874005,4.306649,39.281922
9,Ciudad de México,9008,La Magdalena Contreras,008,2015,2015-01-01,Adultos (30 a 64 años),115939,29.064372,4.560281,39.309328
9,Ciudad de México,9009,Milpa Alta,009,2015,2015-01-01,Adultos (30 a 64 años),64143,44.799757,7.926434,51.75133
9,Ciudad de México,9010,Álvaro Obregón,010,2015,2015-01-01,Adultos (30 a 64 años),338440,24.414547,3.706384,32.130171
9,Ciudad de México,9011,Tláhuac,011,2015,2015-01-01,Adultos (30 a 64 años),174781,34.752669,3.822592,46.929056
9,Ciudad de México,9012,Tlalpan,012,2015,2015-01-01,Adultos (30 a 64 años),305746,27.440602,4.793584,35.088296
9,Ciudad de México,9013,Xochimilco,013,2015,2015-01-01,Adultos (30 a 64 años),201297,35.488634,7.419407,45.508994
9,Ciudad de México,9015,Cuauhtémoc,015,2015,2015-01-01,Adultos (30 a 64 años),223985,13.255928,1.816379,17.523831
9,Ciudad de México,9016,Miguel Hidalgo,016,2015,2015-01-01,Adultos (30 a 64 años),141920,5.667624,1.279105,7.889707
9,Ciudad de México,9017,Venustiano Carranza,017,2015,2015-01-01,Adultos (30 a 64 años),197016,19.627101,2.88929,28.218988
9,Ciudad de México,9002,Azcapotzalco,002,2010,2010-01-01,Adultos (30 a 64 años),193648,14.61639,2.662191,21.901631
9,Ciudad de México,9003,Coyoacán,003,2010,2010-01-01,Adultos (30 a 64 años),266213,15.310963,3.680758,18.171503
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2010,2010-01-01,Adultos (30 a 64 años),80506,25.595939,7.793859,31.00758
9,Ciudad de México,9005,Gustavo A. Madero,005,2010,2010-01-01,Adultos (30 a 64 años),560680,27.203042,5.711006,35.410464
9,Ciudad de México,9006,Iztacalco,006,2010,2010-01-01,Adultos (30 a 64 años),179642,21.703232,3.912912,28.114907
9,Ciudad de México,9007,Iztapalapa,007,2010,2010-01-01,Adultos (30 a 64 años),763052,31.528867,6.138103,37.06161
9,Ciudad de México,9008,La Magdalena Contreras,008,2010,2010-01-01,Adultos (30 a 64 años),112521,26.796201,10.267896,32.357035
