id_colonia,cve_alcaldia,nom_alcaldia,nom_colonia,centroide_lat,centroide_lon,pob_colonia,pob_menores_estim,pobreza_pct_promedio,pct_aguadv,pct_drenaje,pct_excede_nom_local,antiguedad_red_proxy,antiguedad_red_anos_estim,n_fugas_total,fugas_por_10k_hab_total,lag_promedio_dias,dist_planta_km,planta_cercana_id,tasa_morbilidad_estimada_por_100k,casos_morbilidad_estimados,factor_riesgo_morbilidad,IVH,estres_score,riesgo_infantil,score_priorizacion,rank,d_urgencia,d_magnitud,d_remediabilidad,d_equidad,d_retorno,causa_raiz,intervencion,flag_top_100,flag_top_200,flag_critico_ivh,flag_estres_alto,flag_red_40plus,flag_pob_infantil_alta
10-204,010,ALVARO OBREGON,SANTA ROSA XOCHIAC (PBLO),19.325136,-99.289192,17642,3162.0,37.67,99.54,99.6,100.0,0.7997,45.0,216,122.44,0.16,20.4,PLANTA_044,3974.97,701.3,0.794679736422145,0.6365,0.17108042718743643,0.28508518532066063,0.2043,154,0.07235663974381054,0.40327285192940726,0.03000328185213004,0.6475189986589184,0.07392121280513517,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
12-214,012,TLALPAN,PEDREGAL DE SN NICOLAS 4A SECC II,19.278955,-99.233375,10383,1916.0,38.69,95.66,99.47,100.0,0.686,39.0,251,241.74,,13.33,PLANTA_044,9300.26,965.6,1.859316331252085,0.687,0.19257009163604424,0.18789565159610366,0.2043,155,0.10275583339311298,0.2560084145847626,0.1305677329006295,0.670317389360751,0.11168709313373401,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,0,1
07-009,007,IZTAPALAPA,APATLACO,19.380341,-99.116341,9388,1876.0,42.87,99.59,99.77,15.8,0.8908,50.0,379,403.71,0.08,1.71,PLANTA_006,3517.42,330.2,0.7032058224701064,0.612,0.5554175084369523,0.16156831525524926,0.2036,156,0.03782269321523901,0.20611751938038902,0.29606818458184697,0.7637460885113994,0.03236064114390933,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,1
11-033,011,TLAHUAC,SAN JOSE,19.271634,-98.985437,8333,1785.0,41.5,97.6,99.5,77.8,0.8101,46.0,304,364.81,3.13,2.94,PLANTA_033,6937.08,578.1,1.3868676118819157,0.6973,0.4293719502541009,0.1779270339381972,0.2031,157,0.07129698662825397,0.20845968220715153,0.23360970973464132,0.7331247206079571,0.06039790849717284,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-157,007,IZTAPALAPA,PASEOS DE CHURUBUSCO,19.380729,-99.086905,11204,2239.0,42.87,99.59,99.77,15.8,0.8908,50.0,896,799.71,1.45,2.42,PLANTA_006,3517.42,394.1,0.7032058224701064,0.6282,0.5908236187069281,0.19872397323739677,0.2028,158,0.04520779874636778,0.2526012015074657,0.21813720730024097,0.7637460885113994,0.0386799291424346,ambas,Intervención dual: red + planta (proyecto integral),0,1,0,1,1,1
07-071,007,IZTAPALAPA,ESCUADRON 201,19.363596,-99.112267,13214,2641.0,42.87,99.59,99.77,15.8,0.8908,50.0,339,256.55,0.82,3.27,PLANTA_006,3517.42,464.8,0.7032058224701064,0.6012,0.4046443166891865,0.2231559100376054,0.2027,159,0.05338634536761783,0.28517128256393304,0.15892488214663758,0.7637460885113994,0.04567169223313468,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
02-007,002,AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,19.481176,-99.186312,3164,515.0,24.59,99.57,99.69,0.0,0.7316,42.0,308,973.45,3.65,0.37,PLANTA_000,2942.51,93.1,0.5882689975126411,0.3139,0.5282309188556951,0.019725943199350473,0.2025,160,0.00841779905311703,0.03525832508304957,0.7712028652102937,0.3551631649530622,0.010103135880667472,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,1,0,1,1,0
11-034,011,TLAHUAC,SAN JUAN IXTAYOPAN (PBLO),19.245391,-98.994399,10094,2162.0,41.5,97.6,99.5,77.8,0.8101,46.0,196,194.17,4.61,4.9,PLANTA_033,6937.08,700.2,1.3868676118819157,0.6823,0.3117408182401679,0.2104906663608351,0.2022,161,0.08642367657015229,0.2471644919675107,0.1478358390861635,0.7331247206079571,0.07321658506158236,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
17-071,017,VENUSTIANO CARRANZA,7 DE JULIO (AMPL),19.431436,-99.1098,1934,340.0,29.9,99.6,99.59,0.0,0.7336,42.0,78,403.31,,0.45,PLANTA_037,3553.95,68.7,0.7105078100882739,0.3433,0.44200421256843697,0.014494386814400765,0.2021,162,0.006645370373258498,0.02342121121135833,0.7288781101962623,0.4738489047831918,0.007365787467213188,otra,Auditoría técnica para identificar causa secundaria,0,1,0,0,1,0
07-247,007,IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 6 (U HAB),19.355769,-99.056366,6550,1309.0,42.87,99.59,99.77,50.0,0.8908,50.0,163,248.85,4.96,1.23,PLANTA_030,3517.42,230.4,0.7032058224701064,0.6606,0.5351970096542334,0.12266053640532176,0.202,163,0.026287280443475884,0.15511707474088365,0.37686872289138046,0.7637460885113994,0.0224910802322846,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,1
07-215,007,IZTAPALAPA,SANTA MARTHA ACATITLA,19.370877,-99.019015,13722,2742.0,42.87,99.59,99.77,50.0,0.8908,50.0,1418,1033.38,0.58,5.46,PLANTA_030,3517.42,482.7,0.7032058224701064,0.6945,0.5018295811874285,0.2724721896415429,0.2017,164,0.05544115434459856,0.3421811556663666,0.07815845108936958,0.7637460885113994,0.04744188401988902,ambas,Intervención dual: red + planta (proyecto integral),0,1,0,1,1,1
07-116,007,IZTAPALAPA,LA REGADERA,19.353112,-99.064056,652,130.0,42.87,99.59,99.77,50.0,0.8908,50.0,22,337.42,51.44,0.5,PLANTA_030,3517.42,22.9,0.7032058224701064,0.6679,0.7326278930840453,0.0117311689575015,0.201,165,0.002300945949809699,0.015206950078738787,0.598879424193811,0.7637460885113994,0.001970700581361429,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,0
07-260,007,IZTAPALAPA,CERRO DE LA ESTRELLA I,19.325524,-99.078354,11433,2285.0,42.87,99.59,99.77,50.0,0.8908,50.0,368,321.88,2.07,2.92,PLANTA_030,3517.42,402.1,0.7032058224701064,0.6667,0.4457579065883075,0.21682842354964685,0.2009,166,0.04614365233984416,0.27359884482317115,0.1801965367711464,0.7637460885113994,0.0394710763096991,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-143,007,IZTAPALAPA,MIRAVALLE,19.331482,-98.99585,13959,2790.0,42.87,99.59,99.77,77.8,0.8908,50.0,101,72.35,0.02,5.04,PLANTA_033,3517.42,491.0,0.7032058224701064,0.655,0.23202881551604115,0.2596951662376027,0.2008,167,0.05641769722474782,0.3282750616085584,0.08910877597507105,0.7637460885113994,0.04826269920592595,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
10-091,010,ALVARO OBREGON,JARDINES DEL PEDREGAL,19.319686,-99.207479,15200,2724.0,37.67,99.54,99.6,100.0,0.7997,45.0,3420,2250.0,4.71,12.47,PLANTA_044,3974.97,604.2,0.794679736422145,0.7057,0.38075044795084734,0.2755396310885649,0.2008,168,0.06228653894484413,0.385206657564102,0.05798916322696327,0.6475189986589184,0.0636455916684809,ambas,Intervención dual: red + planta (proyecto integral),0,1,1,0,1,1
11-015,011,TLAHUAC,LA ESTACION,19.311243,-99.041986,10069,2157.0,41.5,97.6,99.5,20.0,0.8101,46.0,442,438.97,5.24,4.45,PLANTA_033,6937.08,698.5,1.3868676118819157,0.63,0.40273570804527925,0.19204134092864703,0.2001,169,0.08622305734015365,0.22761799233657673,0.1620725993052003,0.7331247206079571,0.07303811044930146,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
12-177,012,TLALPAN,TLALPAN CENTRO,19.287794,-99.170487,9042,1668.0,38.69,95.66,99.47,59.5,0.686,39.0,606,670.21,2.42,7.32,PLANTA_044,9300.26,840.9,1.859316331252085,0.6835,0.27858562761970074,0.16255735339852379,0.1999,170,0.08941531755656962,0.22174817705424876,0.18184821813771507,0.670317389360751,0.09722557998187215,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,0,1
16-032,016,MIGUEL HIDALGO,GRANADA (AMPL),19.44314,-99.200823,17540,2645.0,14.29,98.4,98.39,0.0,0.3551,23.0,19,10.83,,4.75,PLANTA_000,8873.16,1556.4,1.7739300667909348,0.1449,0.009771886602708276,0.03122353757119807,0.1998,171,0.13543399489859703,0.0909269380410568,0.4609134985939069,0.12494412159141709,0.2500495236055404,otra,Auditoría técnica para identificar causa secundaria,0,1,0,0,0,1
13-008,013,XOCHIMILCO,CERRO GRANDE,19.238972,-99.11777,2459,495.0,46.88,91.49,99.18,59.5,0.6507,38.0,8,32.53,,2.32,PLANTA_044,15953.95,392.3,3.1895273921257523,0.7169,0.16121153302718214,0.05036266116255069,0.1996,172,0.04540525414608599,0.0629306375602427,0.3899318083726416,0.8533750558784088,0.046596898521290016,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,1,0,0,0
07-002,007,IZTAPALAPA,ALBARRADAS (U HAB),19.356804,-99.061945,4853,970.0,42.87,99.59,99.77,50.0,0.8908,50.0,19,39.15,0.0,0.96,PLANTA_030,3517.42,170.7,0.7032058224701064,0.6171,0.28085049737105994,0.08403236660428107,0.1996,173,0.01939044635242174,0.10722234385564375,0.4397107231901535,0.7637460885113994,0.016587144496573208,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,0
07-175,007,IZTAPALAPA,SAN ANDRES TETEPILCO (PBLO),19.371049,-99.131607,13018,2602.0,42.87,99.59,99.77,15.8,0.8908,50.0,462,354.89,3.26,3.56,PLANTA_006,3517.42,457.9,0.7032058224701064,0.6089,0.4330426944359438,0.22304344346729915,0.1992,174,0.05259290427749655,0.2845386297791808,0.14377349306321555,0.7637460885113994,0.044989327801369036,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
17-082,017,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION IV,19.426522,-99.097702,10236,1801.0,29.9,99.6,99.59,0.0,0.7336,42.0,34,33.22,,0.97,PLANTA_037,3553.95,363.8,0.7105078100882739,0.2845,0.1449544784081411,0.061237304782808206,0.199,175,0.03667758654763926,0.10425102288801914,0.5436886414070082,0.4738489047831918,0.040268130144773685,otra,Auditoría técnica para identificar causa secundaria,0,1,0,0,1,1
13-081,013,XOCHIMILCO,LA NORIA,19.262953,-99.122793,1241,250.0,46.88,91.49,99.18,59.5,0.6507,38.0,253,2038.68,2.41,1.62,PLANTA_044,15953.95,198.0,3.1895273921257523,0.8148,0.6601017985226769,0.028878080072172838,0.199,176,0.022797357299370616,0.03590502115899016,0.47179823524813075,0.8533750558784088,0.023372597073369607,ambas,Intervención dual: red + planta (proyecto integral),0,1,1,1,0,0
17-084,017,VENUSTIANO CARRANZA,MORELOS II,19.441556,-99.118355,18824,3313.0,29.9,99.6,99.59,0.0,0.7336,42.0,23,12.22,,1.88,PLANTA_037,3553.95,669.0,0.7105078100882739,0.2618,0.06518820293249392,0.10086147699706428,0.1988,177,0.06775815523734748,0.17673184987665633,0.3805225729859208,0.4738489047831918,0.07429657807832658,otra,Auditoría técnica para identificar causa secundaria,0,1,0,0,1,1
07-160,007,IZTAPALAPA,PLUTARCO ELIAS CALLES (U HAB),19.354023,-99.065081,1267,253.0,42.87,99.59,99.77,50.0,0.8908,50.0,15,118.39,,0.58,PLANTA_030,3517.42,44.6,0.7032058224701064,0.643,0.5104871595825242,0.022483921880697904,0.1986,178,0.004803337080192177,0.02884074234749928,0.5645403318473973,0.7637460885113994,0.004116687272566407,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,0
07-036,007,IZTAPALAPA,CUITLAHUAC (U HAB),19.343497,-99.063474,2065,413.0,42.87,99.59,99.77,50.0,0.8908,50.0,0,0.0,,0.63,PLANTA_030,3517.42,72.6,0.7032058224701064,0.529,0.0,0.029714623066077347,0.1985,179,0.008058480014023041,0.038825069372995596,0.5447900870162544,0.7637460885113994,0.006885702357992184,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,0
07-246,007,IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 5 (U HAB),19.354932,-99.051436,7989,1597.0,42.87,99.59,99.77,50.0,0.8908,50.0,94,117.66,2.45,1.62,PLANTA_030,3517.42,281.0,0.7032058224701064,0.6429,0.38620238567660425,0.1452975124937565,0.1982,180,0.03214653772437144,0.18421027634694723,0.3089631178187452,0.7637460885113994,0.027495086065232613,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
13-068,013,XOCHIMILCO,TECACALANCO,19.240527,-99.063655,4180,842.0,46.88,91.49,99.18,71.4,0.6507,38.0,15,35.89,,5.07,PLANTA_044,15953.95,666.9,3.1895273921257523,0.7289,0.13693079027165772,0.08777431995740932,0.1979,181,0.0774254182514339,0.10909247089472174,0.25111147284948326,0.8533750558784088,0.07941930293507767,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,1,0,0,0
11-021,011,TLAHUAC,LAS ARBOLEDAS,19.30801,-99.053025,11661,2498.0,41.5,97.6,99.5,0.0,0.8101,46.0,954,818.11,2.03,4.72,PLANTA_030,6937.08,808.9,1.3868676118819157,0.4799,0.4606758831724204,0.16277672790166067,0.1976,182,0.09990528882606169,0.20074820397594986,0.15326173721160063,0.7331247206079571,0.0846284617409543,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,1,0,1,1,1
07-293,007,IZTAPALAPA,SAN MIGUEL TEOTONGO III,19.341033,-98.98731,14455,2889.0,42.87,99.59,99.77,77.8,0.8908,50.0,69,47.73,0.0,6.32,PLANTA_033,3517.42,508.4,0.7032058224701064,0.6452,0.1831725325033084,0.26442195680970626,0.1975,183,0.05843181691505567,0.3348624293884192,0.05965716056559661,0.7637460885113994,0.04998344429472625,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-309,007,IZTAPALAPA,2A AMPLIACION SANTIAGO ACAHUALTEPEC II,19.346178,-99.008836,14889,2976.0,42.87,99.59,99.77,50.0,0.8908,50.0,39,26.19,,5.95,PLANTA_030,3517.42,523.7,0.7032058224701064,0.6078,0.13618708423905218,0.25466753837176964,0.1972,184,0.060201800885326194,0.3249094606798057,0.06705581952660084,0.7637460885113994,0.05149651325211963,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-227,007,IZTAPALAPA,STA MA AZTAHUACAN (PBLO),19.350754,-99.023623,13427,2683.0,42.87,99.59,99.77,50.0,0.8908,50.0,74,55.11,,4.4,PLANTA_030,3517.42,472.3,0.7032058224701064,0.625,0.21325282315483132,0.23688727801988554,0.1971,185,0.054240820387748426,0.3012645563063495,0.10907042641927035,0.7637460885113994,0.046413392702445155,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-131,007,IZTAPALAPA,LOS ANGELES APANOAYA,19.341397,-99.060854,4326,865.0,42.87,99.59,99.77,50.0,0.8908,50.0,53,122.52,0.11,0.96,PLANTA_030,3517.42,152.2,0.7032058224701064,0.6438,0.455782800493603,0.07852917174544571,0.1968,186,0.017254258802095232,0.09968270359227245,0.4397107231901535,0.7637460885113994,0.014757616672274034,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,0
05-227,005,GUSTAVO A. MADERO,MARTIN CARRERA I,19.486981,-99.10812,9724,1760.0,33.69,99.63,99.76,0.0,0.8242,46.0,961,988.28,3.12,1.05,PLANTA_005,3051.02,296.7,0.6099621935398889,0.3962,0.6138684982013045,0.0911147256453011,0.1966,187,0.03071216616084783,0.13806518278813965,0.46209203681755945,0.558560572194904,0.030523437543117614,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,1,0,1,1,1
05-181,005,GUSTAVO A. MADERO,TEPEYAC INSURGENTES,19.484302,-99.121883,7706,1395.0,33.69,99.63,99.76,0.0,0.8242,46.0,947,1228.91,0.7,0.87,PLANTA_005,3051.02,235.1,0.6099621935398889,0.4013,0.6764200625648877,0.07327402309741657,0.1964,188,0.024271010852408913,0.11073250151988245,0.5098586234713356,0.558560572194904,0.024125218544641266,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,1,0,1,1,1
07-217,007,IZTAPALAPA,SANTA MARTHA ACATITLA_(PBLO),19.359419,-99.008358,14373,2873.0,42.87,99.59,99.77,50.0,0.8908,50.0,109,75.84,,6.11,PLANTA_030,3517.42,505.6,0.7032058224701064,0.6325,0.2262762101543384,0.2571400458779268,0.196,189,0.05810630262167258,0.3263974994629321,0.06376190179552997,0.7637460885113994,0.04970654278618367,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-258,007,IZTAPALAPA,BUENAVISTA I,19.330924,-99.030155,12755,2549.0,42.87,99.59,99.77,50.0,0.8908,50.0,155,121.52,,4.21,PLANTA_030,3517.42,448.6,0.7032058224701064,0.6436,0.2966250021974951,0.2325774810970386,0.1957,190,0.051514638180665075,0.2946938707771578,0.11594062497066282,0.7637460885113994,0.04406961921942405,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
08-048,008,LA MAGDALENA CONTRERAS,SAN NICOLAS TOTOLAPAN (PBLO),19.297059,-99.244857,13675,2616.0,42.17,98.68,99.51,100.0,0.8272,46.0,19,13.89,0.0,14.97,PLANTA_044,5602.89,766.2,1.1201350691480034,0.6341,0.07298549503007806,0.2347485603049072,0.1956,191,0.08444474463004961,0.3113113878421655,0.027516098197280365,0.7481001341081807,0.07910919463240385,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
13-080,013,XOCHIMILCO,INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB),19.271557,-99.116731,1281,258.0,46.88,91.49,99.18,59.5,0.6507,38.0,34,265.42,1.0,1.76,PLANTA_044,15953.95,204.4,3.1895273921257523,0.7663,0.40112234317539114,0.027884313892424708,0.1951,192,0.023535574339263364,0.03484309163983101,0.45210283399982465,0.8533750558784088,0.024137576637274342,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,1,0,0,0
13-078,013,XOCHIMILCO,CANAL ONCE (U HAB),19.247721,-99.11594,503,101.0,46.88,91.49,99.18,59.5,0.6507,38.0,5,99.4,,1.38,PLANTA_044,15953.95,80.2,3.1895273921257523,0.7431,0.31121764663449986,0.010094389817342854,0.1949,193,0.009048064931368203,0.012988947778831668,0.5109525983540071,0.8533750558784088,0.009292191975248021,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,1,0,0,0
07-106,007,IZTAPALAPA,LA ERA,19.339721,-99.054662,6934,1386.0,42.87,99.59,99.77,50.0,0.8908,50.0,215,310.07,2.42,1.52,PLANTA_030,3517.42,243.9,0.7032058224701064,0.6659,0.5356869957404107,0.13108207983129855,0.1948,194,0.027853817980381987,0.1655586032940945,0.32437108478170584,0.7637460885113994,0.023826141077043457,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,1
07-182,007,IZTAPALAPA,SAN JOSE ACULCO,19.376352,-99.100352,8954,1790.0,42.87,99.59,99.77,15.8,0.8908,50.0,206,230.06,0.87,1.89,PLANTA_006,3517.42,314.9,0.7032058224701064,0.5986,0.46015501796711167,0.15031760105818567,0.1947,195,0.036073053888304916,0.19225429583055045,0.2726877520000659,0.7637460885113994,0.030847572186515963,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,1
17-083,017,VENUSTIANO CARRANZA,MORELOS I,19.444828,-99.12306,18041,3175.0,29.9,99.6,99.59,0.0,0.7336,42.0,443,245.55,0.79,2.49,PLANTA_037,3553.95,641.2,0.7105078100882739,0.3315,0.24331442752535556,0.13192141811703711,0.1946,196,0.06492143666646141,0.21457137574293184,0.3187836440455824,0.4738489047831918,0.07119700123509995,otra,Auditoría técnica para identificar causa secundaria,0,1,0,0,1,1
07-119,007,IZTAPALAPA,LEYES DE REFORMA 1A SECCION,19.361098,-99.071052,7274,1454.0,42.87,99.59,99.77,15.8,0.8908,50.0,141,193.84,0.92,1.48,PLANTA_030,3517.42,255.9,0.7032058224701064,0.5945,0.4696664038521452,0.1210431486039434,0.194,197,0.029237253727260108,0.1550258616590999,0.3308821934015376,0.7637460885113994,0.025012861827940217,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,1
13-005,013,XOCHIMILCO,BOSQUE RESIDENCIAL DEL SUR (FRACC),19.280596,-99.129798,2911,586.0,46.88,91.49,99.18,59.5,0.6507,38.0,281,965.3,0.17,3.38,PLANTA_044,15953.95,464.4,3.1895273921257523,0.797,0.45747525121615046,0.06716204562331574,0.1936,198,0.053802472974865984,0.08296407554977148,0.31577673964511105,0.8533750558784088,0.055214871420904324,ambas,Intervención dual: red + planta (proyecto integral),0,1,1,0,0,0
07-229,007,IZTAPALAPA,TENORIOS,19.331538,-99.021547,12888,2576.0,42.87,99.59,99.77,50.0,0.8908,50.0,288,223.46,0.15,5.0,PLANTA_030,3517.42,453.3,0.7032058224701064,0.6581,0.34736604514343306,0.24099787446008936,0.1932,199,0.05206394355074904,0.3044901917138628,0.09023161881255722,0.7637460885113994,0.04453441818019196,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,0,1,1
07-031,007,IZTAPALAPA,COLONIAL IZTAPALAPA (FRACC),19.347058,-99.055327,4574,914.0,42.87,99.59,99.77,50.0,0.8908,50.0,144,314.82,1.89,1.09,PLANTA_030,3517.42,160.9,0.7032058224701064,0.6662,0.5926614182224277,0.0862591599716765,0.1931,200,0.018251146325580937,0.10910673709529399,0.40742666172176023,0.7637460885113994,0.01561798921667419,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,1,0,1,1,0
07-248,007,IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 7 (U HAB),19.356523,-99.060135,4240,847.0,42.87,99.59,99.77,50.0,0.8908,50.0,55,129.72,0.24,1.02,PLANTA_030,3517.42,149.1,0.7032058224701064,0.6452,0.45742569686936585,0.07706955021518157,0.1931,201,0.01688805522203926,0.09790551178973485,0.42429403884843025,0.7637460885113994,0.014451047144959038,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,0,1,0
16-077,016,MIGUEL HIDALGO,TACUBA,19.456362,-99.187093,11676,1761.0,14.29,98.4,98.39,0.0,0.3551,23.0,431,369.13,0.56,2.93,PLANTA_000,8873.16,1036.0,1.7739300667909348,0.2269,0.05512239116735762,0.04373424154228549,0.1929,202,0.09006528501663881,0.09480047035893387,0.5428463677868602,0.12494412159141709,0.1663443398971348,otra,Auditoría técnica para identificar causa secundaria,0,0,0,0,0,1
13-085,013,XOCHIMILCO,LA NORIA TEPEPAN (U HAB),19.263211,-99.126535,1530,308.0,46.88,91.49,99.18,59.5,0.6507,38.0,22,143.79,0.0,2.0,PLANTA_044,15953.95,244.1,3.1895273921257523,0.7518,0.31815999902332487,0.032741812310688866,0.1928,203,0.02814943083859303,0.040905640847077526,0.42261600470236066,0.8533750558784088,0.02888284049462092,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,1,0,0,0
12-219,012,TLALPAN,EJIDOS DE SAN PEDRO MARTIR II (SUR),19.267447,-99.158872,7851,1449.0,38.69,95.66,99.47,59.5,0.686,39.0,186,236.91,,5.41,PLANTA_044,9300.26,730.2,1.859316331252085,0.6588,0.2260870866101271,0.13543524371031387,0.1927,204,0.0776347813944608,0.18550856890996248,0.21828157453240316,0.670317389360751,0.08438765290960988,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,0,0,1
08-042,008,LA MAGDALENA CONTRERAS,SAN BERNABE OCOTEPEC (PBLO),19.314259,-99.257504,12456,2383.0,42.17,98.68,99.51,100.0,0.8272,46.0,486,390.17,12.63,16.86,PLANTA_044,5602.89,697.9,1.1201350691480034,0.712,0.3047624180780662,0.24334871489253218,0.1927,205,0.0768939289475681,0.31840689913459674,0.020775124940659313,0.7481001341081807,0.07203110100485996,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,1,0,1,1
17-079,017,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION I,19.436891,-99.093785,12607,2219.0,29.9,99.6,99.59,0.0,0.7336,42.0,1312,1040.69,0.57,1.62,PLANTA_037,3553.95,448.0,0.7105078100882739,0.3659,0.39745465198161645,0.10426617439713941,0.1927,206,0.04526996598698982,0.16539863704861535,0.415575697826656,0.4738489047831918,0.0496560571303738,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,0,0,0,1,1
12-074,012,TLALPAN,LA MAGDALENA PETLACALCO (PBLO),19.234554,-99.183328,8397,1549.0,38.69,95.66,99.47,100.0,0.686,39.0,564,671.67,0.52,8.29,PLANTA_044,9300.26,780.9,1.859316331252085,0.7113,0.27208244059979847,0.15775844429710148,0.1925,207,0.0830140216511315,0.21429074720980013,0.16908148252405342,0.670317389360751,0.09026735392644544,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,1,0,0,1
06-052,006,IZTACALCO,INFONAVIT IZTACALCO (U HAB) I,19.385494,-99.106304,8353,1431.0,25.72,99.69,99.72,15.8,0.8157,46.0,460,550.7,0.57,0.77,PLANTA_006,2735.5,228.5,0.5468834955876182,0.4623,0.5713869751975738,0.08904937236114466,0.1921,208,0.02229296380151025,0.1383867151932246,0.5463582335143199,0.38042020563254364,0.023593024907041824,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,1,1,1
11-001,011,TLAHUAC,AGRICOLA METROPOLITANA,19.290856,-99.052542,9385,2010.0,41.5,97.6,99.5,20.0,0.8101,46.0,408,434.74,0.99,4.72,PLANTA_033,6937.08,651.0,1.3868676118819157,0.6298,0.39583207216720934,0.17884708427900717,0.1919,209,0.08032485197819329,0.212057587071785,0.15326173721160063,0.7331247206079571,0.06805131981204142,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,0,1,1
07-205,007,IZTAPALAPA,SANTA BARBARA (BARR) I,19.359701,-99.102828,12290,2456.0,42.87,99.59,99.77,15.8,0.8908,50.0,258,209.93,0.51,3.66,PLANTA_006,3517.42,432.3,0.7032058224701064,0.5964,0.36928898204147437,0.20560479972372936,0.1916,210,0.049622586350375884,0.26307805760271863,0.13898612948572464,0.7637460885113994,0.04245765686612262,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,0,1,1
05-063,005,GUSTAVO A. MADERO,GABRIEL HERNANDEZ,19.498572,-99.104337,12756,2308.0,33.69,99.63,99.76,0.0,0.8242,46.0,1935,1516.93,3.44,1.61,PLANTA_005,3051.02,389.2,0.6099621935398889,0.4064,0.5920395258546646,0.12334674061784254,0.1916,211,0.040382722623928724,0.1859328014207295,0.3556187087123347,0.558560572194904,0.04013115275998551,fugas,Reemplazo de red secundaria (cuadrillas + tubería),0,0,0,1,1,1
11-007,011,TLAHUAC,EL TRIANGULO,19.287578,-99.021782,4126,884.0,41.5,97.6,99.5,77.8,0.8101,46.0,89,215.71,4.61,1.47,PLANTA_033,6937.08,286.2,1.3868676118819157,0.6848,0.45378856809012186,0.0860116089268523,0.1913,212,0.03514540138249699,0.10113542561929474,0.3872734253700722,0.7331247206079571,0.0297527677178842,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),0,0,0,0,1,0
