consulta,match,score,decision,cve_alcaldia
5 DE MAYO,DEL MAESTRO,60,no_match,002
F. C. INDUSTRIAL,INDUSTRIAL VALLEJO (U HAB),76,candidato,002
HACIENDA SOTELO,EX-HACIENDA EL ROSARIO,59,no_match,002
CALLE 7,AGUILERA,40,no_match,002
CALLE 24,AGUILERA,37,no_match,002
CALZADA VALLEJO,INDUSTRIAL VALLEJO (U HAB),63,no_match,002
BALEARES,SAN ALVARO,55,no_match,002
CALLE 15,AGUILERA,37,no_match,002
2A. CERRADA ANGELES,TIERRA NUEVA,45,no_match,002
COL. AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,82,candidato,002
2 DE ABRIL,AGUILERA,44,no_match,002
ALONSO CAPETILLO,TLATILCO,50,no_match,002
PERSEO,PASTEROS,57,no_match,002
ALFAREROS,SAN ALVARO,63,no_match,002
COACHILCO,TLATILCO,58,no_match,002
NORTE 141,MONTE ALTO,42,no_match,002
AHUIZOTL,AGUILERA,50,no_match,002
TRATADO DE SABINAS,SANTA CRUZ DE LAS SALINAS,60,no_match,002
BATALLA DE ZACATECAS,HUAUTLA DE LAS SALINAS (BARR),53,no_match,002
BATALLA DEL PAREDON,POTRERO DEL LLANO,66,no_match,002
PONIENTE 94-A,MONTE ALTO,52,no_match,002
2A. CERRADA CUAUHTEMOC,SAN SALVADOR XOCHIMANCA,40,no_match,002
RODOLFO GOMEZ,TEZOZOMOC,45,no_match,002
AVENIDA RIO BLANCO,IGNACIO ALLENDE,54,no_match,002
HIDROGENO,DEL RECREO,42,no_match,002
CENTRAL,ARENAL,61,no_match,002
CALLE REFINERIA SALAMANCA,NUEVA SANTA MARIA,52,no_match,002
CAMPO ACALAPA,SECTOR NAVAL,48,no_match,002
CALLE JUSTO SIERRA,TIERRA NUEVA,53,no_match,002
UNIDAD CUITLAHUAC,CUITLAHUAC 1 Y 2 (U HAB),74,candidato,002
CERRADA 5 DE FEBRERO,CENTRO DE AZCAPOTZALCO,47,no_match,002
AVENIDA RIO CONSULADO,EX-HACIENDA EL ROSARIO,55,no_match,002
TONGA,COLTONGO,61,no_match,002
CDMX,COSMOPOLITA,26,no_match,002
LERDO DE TEJADA,TRABAJADORES DEL HIERRO,57,no_match,002
1A. CERRADA MINA,ALDANA,45,no_match,002
REY MAXTLA,LA PRECIOSA,47,no_match,002
MATIAS ROMERO,PASTEROS,47,no_match,002
SAN ISIDRO,SAN ALVARO,60,no_match,002
QUEZALA,ALDANA,46,no_match,002
FRANCISCO I. MADERO,FRANCISCO VILLA (U HAB),64,no_match,002
GENERAL FRANCISCO SARABIA,FRANCISCO VILLA (U HAB),62,no_match,002
PRIMERA PRIVADA ROSAS MORENO,PEMEX PRADOS DEL ROSARIO (U HAB),50,no_match,002
AHUACATITLA,AGUILERA,52,no_match,002
MACARIO GAXIOLA,PATRIMONIO FAMILIAR,52,no_match,002
CALLE LUCIO BLANCO,IGNACIO ALLENDE,48,no_match,002
AVENIDA EX-HACIENDA DE ENMEDIO,EX-HACIENDA EL ROSARIO,66,no_match,002
CAMPO HUICHAPO,COSMOPOLITA,48,no_match,002
ELPIDIO CORTEZ,PRO HOGAR II,46,no_match,002
CAMPO COBO,COSMOPOLITA (AMPL),50,no_match,002
MICTLAN KANKAB,SAN  MIGUEL AMANTLA (PBLO),46,no_match,002
AZTECAS,PASTEROS,53,no_match,002
CALLE ADOLFO LOPEZ MATEOS,POTRERO DEL LLANO,47,no_match,002
MEXICO,TLATILCO,42,no_match,002
COL,COLTONGO,54,no_match,002
CANANEA,NUEVA ESPANA,63,no_match,002
ROSARIO 1 SECTOR II CA,SECTOR NAVAL,66,no_match,002
LINDAVISTA VALLEJO III SECCION,INDUSTRIAL VALLEJO (U HAB),53,no_match,002
LA ERA,LA RAZA,76,candidato,002
CERRADA SANTOS HERNANDEZ,SAN BERNABE (BARR),57,no_match,002
AXOLAGUA,ALDANA,57,no_match,002
CONSTITUCION,COLTONGO,50,no_match,002
CERRADA SAN ISIDRO,SAN ALVARO,57,no_match,002
CERRADA INDUSTRIA,INDUSTRIAL VALLEJO (U HAB),51,no_match,002
2100,CUITLAHUAC 1 Y 2 (U HAB),7,no_match,002
INDUSTRIAL SAN ANTONIO,SAN ANTONIO (FRACC),73,candidato,002
CIUDAD DE MEXICO,CIUDAD JARDIN,63,no_match,003
AVENIDA SANTA URSULA,SANTA URSULA - BOSQUES DE TETLAMEYA,75,candidato,003
CALLE O,DEL CARMEN,47,no_match,003
RANCHO MIRADORES,RANCHO EL ROSARIO,60,no_match,003
FRANCISCO I. MADERO,CUADRANTE DE SAN FRANCISCO,64,no_match,003
35C,OLIMPICA,18,no_match,003
IZTACCIHUATL,AJUSCO HUAYAMILPAS,40,no_match,003
VIA LACTEA,VILLA COYOACAN,58,no_match,003
CERRADA YAUTLE,PETROLERA TAXQUENA,50,no_match,003
35B,IMAN 580 (U HAB),21,no_match,003
AVELINO ORTEGA A.,CANTIL DEL PEDREGAL,50,no_match,003
CALZADA DEL HUESO,DEL CARMEN,51,no_match,003
VILLA SAN FRANCISCO,CUADRANTE DE SAN FRANCISCO,81,candidato,003
BUTACARIS,SANTA CATARINA (BARR),46,no_match,003
MEXICO CITY,CHIMALISTAC,45,no_match,003
EXEJIDO DE SANTA URSULA COAPA,PUEBLO SANTA URSULA COAPA,83,candidato,003
CALLE DOLORES GUERRERO,ROMERO DE TERREROS,55,no_match,003
ELVIRA VARGAS,EL MIRADOR,52,no_match,003
PEDREGAL DE CARRASCO,PEDREGAL DE LA ZORRA,80,candidato,003
AVENIDA AZTECAS,AVANTE,47,no_match,003
SAN CASTULO,ACASULCO UNIVERSIDAD,58,no_match,003
SAN GABRIEL,CARMEN SERDAN,58,no_match,003
SAN BENITO,SAN MATEO (BARR),53,no_match,003
SAN PERFECTO,SAN MATEO (BARR),50,no_match,003
SAN LEON,CARMEN SERDAN,57,no_match,003
SAN GONZALO,SAN LUCAS (BARR),44,no_match,003
RANCHO DEL ARENAL,PEDREGAL DEL MAUREL,61,no_match,003
NAHUATLACAS,ATLANTIDA,50,no_match,003
HIDALGO,HERMOSILLO,47,no_match,003
TARASCOS,ESPARTACO,58,no_match,003
LUCRECIA TORIZ,ADOLFO RUIZ CORTINES I,50,no_match,003
PAPALOTL,ESPARTACO,47,no_match,003
PAZ MONTES DE OCA,MONTE DE PIEDAD I,64,no_match,003
CALLE N,CARMEN SERDAN,50,no_match,003
CALLE D,DEL CARMEN,58,no_match,003
LA OTRA BANDA,LAS CABANAS,58,no_match,003
HEROES DEL 47,DEL CARMEN,52,no_match,003
CALLE 11,EL CARACOL,44,no_match,003
CALLE 9,EL CARACOL,47,no_match,003
CALLE 7,EL CARACOL,47,no_match,003
CALLE 5,EL CARACOL,47,no_match,003
CALLE 3,EL CARACOL,47,no_match,003
CUARTA CERRADA SAN FRANCISCO,CUADRANTE DE SAN FRANCISCO,70,candidato,003
CALLE MELCHOR OCAMPO,RANCHO EL ROSARIO,48,no_match,003
ROSA MARIA SEQUEIRA,SANTA MARTHA DEL SUR,56,no_match,003
COROLA,EL CARACOL,50,no_match,003
CARMINA RINCON,CARMEN SERDAN,59,no_match,003
E. PALLARES Y PORTILLO,JARDINES DEL PEDREGAL,46,no_match,003
GUAMUCHIL,AJUSCO I,47,no_match,003
AVENIDA RIO CHURUBUSCO,PRADO CHURUBUSCO,76,candidato,003
CERRITO,ESPARTACO,50,no_match,003
RANCHO SAN MATEO,SAN MATEO (BARR),72,candidato,003
PEDREGAL DE CARRASCO SECCION 2DA,PEDREGAL DE LA ZORRA,70,candidato,003
AVENIDA DEL PANTEON,CANTIL DEL PEDREGAL,52,no_match,003
